,country,description,designation,points,price,province,region_1,region_2,variety,winery
1027,Portugal,"A rich wine that is made by the Abreu Callado charity foundation. It has dark black currant fruits, big tannins and an elegant feel. With its structure, minerality and ripe, juicy fruitiness, it is finely structured and ageworthy. Drink from 2017.",Abreu Callado Reserva,91,22.0,Alentejano,,,Portuguese Red,Wines & Winemakers
1028,US,"You can criticize this as being too full-bodied for a Pinot Noir. Some will find it Grenache-like, with its lush, jammy flavors of cherries, raspberries and oak. But what can't be denied is how delicious it is. The fruitiness, acidity and tannins suggest pairing with charbroiled lamb chops or steak. Drink now–2020.",Estate 25th Anniversary,91,36.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,McIntyre Vineyards
1029,US,"Palmeri has a good history with Syrah, and this 2011 is right up there. With rich, complex blackberry and blueberry jam, cassis, salted grilled beef, black pepper and smoky oak flavors, it is sophisticated enough to drink with upscale fare. It should age well through 2020.",Van Ness Vineyard,91,43.0,California,Alexander Valley,Sonoma,Syrah,Palmeri
1030,Portugal,"A powerfully tannic wine, full of the mineral texture and dark structure of a fine Douro wine. It has rich berry and plum skin flavors with underlining from acidity. The tannins, still young, promise aging. Drink from 2017.",Reserva,91,28.0,Douro,,,Portuguese Red,Quinta do Portal
1031,Portugal,"Already impressive, this wine is rich and packed with tannins and fruit. The structure gives a dry core that is cushioned by the sweet blackberry fruit flavors. The end shows the tannins again, along with fresh acidity, both suggesting aging. Drink from 2016.",Reserva,91,75.0,Douro,,,Portuguese Red,Quinta Nova de Nossa Senhora do Carmo
1032,Germany,"Dried herbs accent notes of lemon and apple on this concentrated off-dry Riesling. The palate builds in intensity, with juicy flavors of peach and tangerine glazed with streaks of honey and wax. The finish is long, with bristling lemon-lime acidity.",Single Vineyard Series Spätlese,91,20.0,Mosel,,,Riesling,Emil Reichart
1033,Portugal,"With a significant proportion of Cabernet Sauvignon in the blend, this is a solid, tannic wine. It is also rich, complex and fruity. Fermentation in open lagares gives extra fruitiness, soft extract and great acidity. Drink from 2017.",Mythos,91,30.0,Tejo,,,Portuguese Red,Casal da Coelheira
1034,France,"A very ripe wine with a velvet texture, cut with acidity and wood aging flavors. There is fine concentration, with delicious, juicy Merlot giving a ripe feel. It presents a fresh aftertaste, with the black currant fruit giving a lift to the more tannic structure. Drink from 2017.",,91,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Quinault L'Enclos
1035,France,"A perfumed wine, it has structured black fruits and a solid texture. It is rich, showing complexity through its tannins along with acidity and fruitiness. Still surprisingly young to taste, it should not be drunk until 2015.",Réserve Louis Leyre-Loup,91,,Beaujolais,Morgon,,Gamay,Domaine de Leyre-Loup
1036,Germany,"Whiffs of blackberry, bramble and granite seduce throughout this concentrated, brawny Lemberger. The palate is lush, with ripe plum and black cherry flavors anchored by brooding minerality and a bite of firm tannins on the finish. It's lovely now, but should reveal more complexity with 5–7 years in the cellar.",Trocken,91,24.0,Württemberg,,,Lemberger,Grafen Neipperg
1037,Chile,"Dark berry, shoe polish and lemony oak are at the center of the bouquet on this blend of Malbec, Cabernet Sauvignon, Syrah and Petit Verdot. The palate feels rich to the point of syrupy, while the flavor profile offers a condensed, jammy mix of wild berries, wood, herbs, chocolate and coffee. Additional herbal notes along with spicy flavors carry a thick finish to its conclusion. Drink through 2018.",Auma Los Lingues,91,100.0,Colchagua Valley,,,Red Blend,Koyle
1038,Chile,"Black-plum and apple-skin aromas are fruity and a bit raw. In the mouth, this blend of Cabernet Franc, Syrah, Carmenère and Petit Verdot is full, properly tannic and loamy in feel. Dark-leaning flavors of licorice, peppery spice, chocolate and herbs finish with classic Chilean notes of black olive and tobacco. Drink through 2019.",Lien,91,30.0,Colchagua Valley,,,Red Blend,Maquis
1039,Italy,"Still youthful, it shows aromas of fragrant white flowers, stone fruit and pear. The juicy, lively palate delivers golden apples, yellow peach, almond and hints of aromatic herbs alongside fresh acidity. It boasts balance and finesse. Drink now through 2016.",Demesse Vecchie,91,26.0,Lombardy,Lugana,,Turbiana,Olivini
1040,US,"This is a lovely, balanced wine, combining grip, texture and elegant details. It starts with clean fruit flavors of berry and cherry, bringing in delicate notes of root beer, vanilla and clove. There's a suggestion of brine also, the whole delivering marvelous complexity.",Heather's Vineyard,91,65.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara
1041,Chile,"An intriguing, well-made wine, it conveys saucy red-fruit aromas that come with notes of raw oak, leather and herbs. It smacks the palate with hard tannins and raw verve, while flavors of vanilla, mocha, licorice and berry fruits finish crisp and woody. Drink through 2017.",Toknar,91,100.0,Aconcagua Valley,,,Petit Verdot,Von Siebenthal
1042,Italy,"This delicious blend of Syrah, Cabernet Franc, Merlot and Petit Verdot opens with aromas of ripe black fruit, berries, tilled soil, blue flower and spice. The concentrated palate delivers fleshy black cherry, red currants, black pepper and graphite alongside smooth tannins. The long finish closes on a licorice note.",Insoglio del Cinghiale,91,30.0,Tuscany,Toscana,,Red Blend,Campo di Sasso
1043,Portugal,"Made by a Spanish bodega with grapes from the Portuguese Douro, this is a sophisticated Douro wine that has a smooth, ripe texture underpinned with dry tannins. Now mature, it's very elegant. Drink now.",Drink & Dream D+D,91,,Douro,,,Portuguese Red,Emilio Moro
1044,US,"Right out of the bottle, this wine is tannic and closed. After a while in the glass, it starts to soften, showing mushroom, cola, pomegranate and raspberry flavors, but it's still resistant. Give it until 2018, and it should gradually unfold for another few years afterward.",Keefer Ranch,91,48.0,California,Russian River Valley,Sonoma,Pinot Noir,Failla
1045,Portugal,"This sophisticated wine is full of rich, beautifully integrated tropical and citrus fruits enhanced by an elegant use of wood. It feels rich, sumptuous and concentrated, while allowing for good acidity at the end. Drink from 2015.",Ikon,91,,Tejo,,,Portuguese White,Fiuza
1046,Portugal,"A big, ripe wine, it shows richness from the superripe grapes. It is bold, full-bodied and packed with juicy black fruits. It's like a fruit bomb, but structure holds it together. Drink from 2015.",Reserva,91,26.0,Alentejano,,,Petite Verdot,Herdade das Servas
1047,Portugal,"At this stage, this wine is dominated by wood. The black fruits underneath will take their time to bring together a wine that will show great perfumes, flavors of mushroom and truffles, and a dense texture. The aftertaste already has some of the right juicy acidity. Drink from 2017.",Ciconia,91,,Alentejano,,,Touriga Nacional,Herdade de São Miguel
1048,Portugal,"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",Domini,91,16.0,Douro,,,Portuguese Red,José Maria da Fonseca
1049,US,"You can call this Pinot thin, or you can call it elusive. While it does show the lean profile of the 2011 vintage, it's quite complex, offering high acid-inspired flavors of raspberry sour candy, chamomile tea and cranberries, plus minerally, dried herb complexities. Drinking through 2020.",Van Der Kamp Vineyard,91,42.0,California,Sonoma Mountain,Sonoma,Pinot Noir,La Follette
1050,Italy,"Closed cellar aromas burn off to reveal black fruit, baking spices and balsamic notes. The palate is subdued, showing raw cherry-berry, cooking spices and herbs alongside nervous acidity and astringent tannins.",Bricco delle Viole,88,60.0,Piedmont,Barolo,,Nebbiolo,460 Casina Bric
1051,Italy,"This earthy Barolo has funky sensations of game, meat juices, oak, vanilla, spice and ripe black berry fruit. The warm midpalate and sweet fruit are balanced by tightly packed, astringent tannins that leave the mouth feeling dry. Drink after 2020.",,88,56.0,Piedmont,Barolo,,Nebbiolo,Anna Maria Abbona
1052,US,"Pale in color, it has pleasing aromas that mix fruit and barrel with notes of cinnamon, cherry and sarsaparilla. The palate is medium bodied with the oak (30% new French and American) getting just a bit out front of the fruit flavors.",,88,19.0,Oregon,Umpqua Valley,Southern Oregon,Pinot Noir,River's Edge
1053,US,"Complex and grippy, it offers classic layers of spicy black pepper, clove and red cherry and plum fruit. Not overpowering on the palate or in price, it will pair with flair.",,88,21.0,California,Napa Valley,Napa,Merlot,Robert Mondavi
1054,US,"This offers fresh fruit flavors of watermelon and strawberry. Delicate and flavorful, it's perfect for sipping on your porch, deck, boat or simply while picnicking.",Rosé,88,20.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Stoller
1055,US,"Ripe and fragrant, this offers delineated scents of cherry pie filling, raspberry, rose and dillweed. It's lithe and succulent, with polished lines and plenty of charm.",,88,25.0,Virginia,Virginia,,Cabernet Franc,Tarara
1056,US,"Medium to full in weight, it offers sleek acids and highly buffed tannins. Subdued notes of charred herb, dark cherry and tobacco give character to this blend of 42% Cabernet Franc, 30% Merlot, 28% Petit Verdot.",Adagio,88,72.0,Virginia,Virginia,,Bordeaux-style Red Blend,The Williamsburg Winery
1057,Argentina,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",Broquel,88,18.0,Other,Cafayate,,Torrontés,Trapiche
1058,US,"Dark and viscous, this blends 65% Cabernet Sauvignon with 26% Merlot and 5% Petit Verdot. All settle into a high percentage of new French oak, which lends the wine a brawny, savory leather mouthfeel. The flavors tend toward olive, black pepper and cedar, a powerhouse in all.",Paradiso,88,70.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,V. Sattui
1059,Argentina,"Smooth, earthy, lightly herbal aromas are balanced by fresh red-berry notes. This feels racy and lean in the mouth, with nothing fat or grabby getting in the way of steady raspberry, plum and herbal flavors. A note of olive and leafy green rises up on the finish.",Reserva,88,29.0,Other,Alto Valle del Río Negro,,Cabernet Franc,Verum
1060,Portugal,"The wines has concentration, while also having rich, smooth fruits that exude blackberries, fresh acidity and just the right amount of wood to give complexity.  It's firm, but ready to drink.",Colheita,88,35.0,Dão,,,Portuguese Red,Vinha Paz
1061,Bulgaria,"This dark cherry-red wine has aromas of red plums and dried black plums that flow to the palate. An easy drinking wine, with pleasantly tart cherry flavors.",Veni Vidi Vici,88,10.0,Thracian Valley,,,Pinot Noir,Vini
1062,US,"This grape variety originated in Spain and is also popular in the southern Rhône Valley of France. In this bottling, smoky, chocolaty aromas lead to blackberry and dark cherry flavors, a broad, generous texture and moderate tannins. It's rather big in structure but not heavy.",,88,26.0,California,Amador County,Sierra Foothills,Mourvèdre,Winery by the Creek
1063,Italy,"It opens with aromas of forest floor, porcini mushroom and espresso. The straightforward palate offers bright berry, coffee and grilled herbs alongside firm tannins. Drink 2015–2020.",,88,28.0,Piedmont,Barolo,,Nebbiolo,Natale Verga
1064,Argentina,"Quara makes good, true Cafayate Torrontés. Aromas of lychee, citrus, tropical fruits and bath oils are vital. This remains solid and clean, with upright acidity. Lime, mango, lychee and banana flavors finish round, with just enough acidity to maintain the wine's character. Drink immediately.",Estate Bottled,88,12.0,Other,Cafayate,,Torrontés,Quara
1065,Spain,"While 2010 was a great vintage in most of Spain, parts of Bierzo had a mildew problem and thus some wines are less than fully ripe. This seems to be a case in point; it's scratchy on the nose, with a sinewy, drawing mouthfeel that's only partly covered up by oak. Prickly berry and black cherry flavors finish tight, with scraping tannins. Drink now with meat or cheese.",,88,25.0,Northern Spain,Bierzo,,Mencía,Losada
1066,Australia,"Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink now–2016.",,88,25.0,South Australia,Eden Valley,,Chardonnay,Heggies Vineyard
1067,US,"The scents of humus, spiced blackberry and char are deep, delineated and balanced. Fine-grained tannins and lifting acids unfurl across the poised palate, and the long finish concludes with black raspberry and vanilla notes.",,88,19.0,Virginia,Virginia,,Merlot,North Gate
1068,Croatia,"This Croatian white has delightful aromas of pineapple, tropical fruits and fresh cut honeycomb. It's round and generous in the mouth, with flavors of guava and lime rind that lead in to the clean, astringent finish.",P9,88,27.0,North Dalmatia,,,Posip,Bibich
1069,US,"The somewhat light red-purple color does not mean that this medium-bodied wine lacks flavor. Toasty, smoky, caramel aromas from oak carry over to the bold and almost sweet flavors, powering over moderate raspberry and plum undertones.",,88,12.0,California,Lodi,Central Valley,Zinfandel,Castle Rock
1070,France,"This rich wine offers spice and black plum fruit flavors in equal measure. It's certainly ripe, but a fresher character adds lift. Tannins are already well-integrated into this velvet-textured wine. Drink from 2017.",,88,15.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Peugeais
1071,Romania,"Aromas of cherry, raspberry and a whiff of mint lead to flavors of dried cherry, raspberry and strawberry in this easy quaffing Pinot Noir.",La Umbra,88,9.0,Dealurile Munteniei,,,Pinot Noir,Cramele Halewood
1072,US,"A complex nose emerges as this wine opens up with chalk, soda, lemon and lime pith. The scents go well with the ocean breezes at Deep Sea's tasting room on Santa Barbara's wharf. It's lean on the palate, with lime throughout and a bit of papaya on the end.",,88,22.0,California,Santa Barbara County,Central Coast,Chardonnay,Deep Sea
1073,France,"The ripe and fruity style typical of Vacheron wines is evident here. Citrus flavors are given a rich fillip by yellow fruits and a rounded, full texture. Touches of minerality and youthful acidity are already well integrated into the body of the wine. Drink in 2015.",,88,37.0,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Vacheron
1074,US,"Inviting in tropical aromas of guava and pineapple, it smells sweet but drinks dry, balanced in melon and high-toned citrus, just a hint of grass on the finish.",,88,19.0,California,Napa Valley,Napa,Fumé Blanc,Robert Mondavi
1075,France,"This is a fresh, lemony wine, crisp and steely. A richer element rounds out the tight texture and acidity. Lively and fruity, it will be ready to drink in 2015.",Eclat de Fraîcheur,88,,Loire Valley,Sancerre,,Sauvignon Blanc,Roger et Didier Raimbault
1076,Italy,"Sweet vanilla, oak, espresso, coconut and plum aromas lead the nose and carry over to the palate. The sugary vanilla and toasted oak flavors mask the Nebbiolo purity, while bracing tannins leave the mouth feeling dried out.",Audace Riserva,88,,Piedmont,Barolo,,Nebbiolo,Sarotto
1077,US,"It offers an imprint of spearmint, dill and black cherry fruit, a modicum of tannins and a soft side, the aroma replete in rose petals. On the finish expect a darker influence of tobacco and oak.",Heritage Reserve,88,40.0,California,Carneros,Napa-Sonoma,Pinot Noir,Schug
1078,Italy,"Aromas of ripe plum, rose petals, cake spices and toasted oak lead the nose on this structured wine. The rich palate opens with a burst of dark cherry fruit followed by accents of roasted coffee bean, espresso, and vanilla. The succulent midpalate is cut short by astringent wood tannins that leave the mouth feeling dried out.",Chirlet,88,,Piedmont,Barolo,,Nebbiolo,Simone Scaletta
1079,US,"Winemaker Jeff Fink is unleashing a cross-section of clones in 2012, and this take on Pommard offers delicious aromas of berry-laced crème brûlée with bay leaf. There is a bitterness at first on the tannic palate, and it washes out quickly with tart cranberries.",Pommard Clone Dierberg Vineyard,88,70.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Tantara
1080,US,"Very rich aromas of cherry, blueberry syrup and hot blackberry jam-filled pastry greet the nose. So the sour cherry and tart cranberry flavors are surprising on this medium-bodied wine, which also picks up interesting peppery notes into a lingering finish.",Nola,87,34.0,California,Santa Ynez Valley,Central Coast,Merlot,Sevtap
1081,US,"The nose on this wine by oil worker-turned-winemaker Ert Sevtap offers lifting aromas of blueberry and mint. The spearmint notes carry to the palate as well, which also shows blackberry fruit and roasted beef meatiness.",Zig-A-Zig-Ahh,87,38.0,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Sevtap
1082,US,"A touch of caramelized sugar lingers from nose to finish on this brisk wine, melding into layers of white peach, caramel and cream. It's light in body, but the mouthfeel is surprisingly round and rich. The finish is zesty and bright.",,87,14.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Sheldrake Point
1083,US,"With all of the fruit hailing from Zephyr Ridge Vineyard, this wine is lighter in color, with suggestions of ash, cigar box, vanilla, coffee and red fruit. It's soft in feel, flavorful yet still quite deft. Good acidity backs it all up, finishing warm.",Howling Wolfe,87,20.0,Washington,Horse Heaven Hills,Columbia Valley,Zinfandel,Thurston Wolfe
1084,US,"Aromatically intriguing, this carries suggestions of sour cherry, umami and fresh tobacco. The palate brings medium-bodied cranberry and cherry flavors. It doesn't have the tannic structure that this variety is known for but there is still plenty to enjoy.",Estate,87,30.0,Washington,Naches Heights,Columbia Valley,Nebbiolo,Wilridge
1085,US,"Prominent streaks of spice, toast and smoke persist amidst tart black cherry and cassis flavors in this full-bodied wine. Pomegranate acidity is bracing on the midpalate, accentuating a slightly brusque finish.",Cassango,87,40.0,New York,Long Island,Long Island,Cabernet Sauvignon,Wölffer
1086,Spain,"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Cuvée,87,15.0,Levante,Jumilla,,Monastrell,Finca Hispana
1087,France,"Ripe Cabernet gives this wine a great start in life. Juicy black currant is underpinned by the wood aging and tannins, giving a wine that is fruity while still structured. Drink from 2017.",,87,20.0,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Chantemerle
1088,France,"While the wine has plenty of the tannins typical of 2011 at this stage, it also has ripe fruit, full of blackberry and currant flavors. The balance is already there, giving a potentially rich, juicy and generous wine. Drink from 2017.",,87,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château de Bensse
1089,US,"Swathes of fresh tarragon lend a green, herbal tone to cassis and black plum flavors in this pretty wine. Penetrating, grippy tannins are jolting on the finish, underlining a tight, brisk finish.",,87,25.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Chateau Lafayette Reneau
1090,France,"Powerful and structured, this has dense tannins that will always be an important part of the wine. The juicy, fresh fruit gives a perfumed character to the wine and brings out acidity as well as the dry texture. It needs to age, so drink from 2018.",,87,35.0,Bordeaux,Moulis-en-Médoc,,Bordeaux-style Red Blend,Château Lalaudey
1091,France,"This firm and dry wine is also full of acidity. A juicy start is then given a firm jolt by the tannins, but the complex structure allows plenty of room for the bright fruits. Drink from 2018.",,87,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Mancèdre
1092,France,"Fresh and juicy, this full-bodied while structured wine comes from the heart of the Entre-deux-Mers region, which gives the fruitiness and blackberry fruit flavors. It will develop quickly and can be drunk from 2016.",,87,20.0,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château Peyfaures
1093,US,"This moderately aromatic wine conveys Red Hots, baking spices and red fruit. It's on the lighter side of medium bodied, soft yet full of drawn-out blue-fruit flavors on the finish.",Single Vineyard,87,23.0,Idaho,,,Syrah,3 Horse Ranch Vineyards
1094,US,"With aromas and flavors reminiscent of apple skin, peach skin, white pepper and pomegranate seed, this tastes crisp, tangy, slightly bitter, and has great bright acidity. It is light to medium bodied and made from 100% whole-cluster-pressed Riesling that was fermented in a combination of older oak barrels and stainless steel vessels.",,87,24.0,California,Anderson Valley,Mendocino/Lake Counties,Riesling,Balo
1095,US,"Toffee, cinnamon apples and a hefty swirl of smoke arise on the nose from the winery's entry-level bottling. The palate shows caramelized pears, nicely bitter lemon rinds and warm, buttered nut toffee note that carries from first sip to the finish.",,87,16.0,California,Santa Barbara County,Central Coast,Chardonnay,Byron
1096,Italy,"A blend of 60% Vermentino and 40% Viognier, this presents a delicate fragrance of honeysuckle and stone fruit. The bright palate offers creamy white peach and tangerine, with a candied ginger note on the close.",Borgeri,87,24.0,Tuscany,Bolgheri,,White Blend,Giorgio Meletti Cavallari
1097,US,"An unidentified mix of Cabernet Sauvignon and Merlot sourced from throughout the county, this is a smoky, leathery expression of sanguine black and red fruit that's approachable and easygoing. The finish has a bittersweet note of chicory.",Mountain Cuvée,87,20.0,California,Sonoma County,Sonoma,Bordeaux-style Red Blend,Gundlach Bundschu
1098,US,"Subdued is a good way to describe this light-bodied white made from Chardonnay, Chenin Blanc and Gewürztraminer. It has subtle aromas of honey and flowers, fresh but quiet peach flavors and a soft texture.",,87,12.0,California,California,California Other,White Blend,Kitchen Sink
1099,US,"While spry and dry in style, fragrant apricot and orange blossom notes lend flair to this light-bodied wine. Tangerine acidity is bright and concentrated on the palate, leading to a swift, pert finish.",Hobbit Hollow Farm Dry,87,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
1100,US,"Coming from the cool 2011 vintage this wine offers a blue-fruit profile seldom seen in the state for this variety along with notes of chocolate and coffee. It's elegantly styled with a soft feel, trailing toward the finish.",Cold Creek Vineyard,87,28.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Chateau Ste. Michelle
1101,France,"This concentrated, structured wine has an earthy quality, typical of some Listracs, along with a more juicy, fruity character that's boosted by acidity. Balanced, it will age over the medium-term. Drink from 2017.",,87,27.0,Bordeaux,Listrac-Médoc,,Bordeaux-style Red Blend,Château Vieux Moulin
1102,US,"Fresh apple aromas and lively citrus flavors make a good combination in this light-bodied, tangy-textured wine. It tastes slightly rounded with sweetness, but comes off clean, crisp and appetizing. The two main components are Sémillon and Chardonnay, with dashes of Sauvignon Blanc and Orange Muscat.",The Whip,87,22.0,California,Livermore Valley,Central Coast,White Blend,Murrieta's Well
1103,US,"This wine is predominantly Merlot (83%) along with Cabernet Sauvignon (9%) and Syrah (2%) all from Anna Marie Vineyard, with Cabernet Franc from Minnick Hills and Petit Verdot from StoneTree Vineyard. Pleasing aromas suggest blueberry, milk chocolate and high-toned herbs. It's elegantly styled with light blue-fruit flavors, at times seeming a bit faint.",,87,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Northstar
1104,US,"This offers an intriguing mix of ripe Golden Delicious apples and a strong alkalinity characterized by crushed chalk. The palate holds tight to a lime-pith line, proving racy and lean, with just a drizzle of honey. It would be great with shellfish.",Estate,87,28.0,California,Santa Clara Valley,Central Coast,Roussanne,Sarah's Vineyard
1105,US,"Sanguine in cassis, cranberry and wild strawberry, this relatively inexpensive Napa Cab has an herbal edge that suggests elegance and balance. The finish is stamped in oak that lingers on the palate without overwhelming.",,87,25.0,California,Napa Valley,Napa,Cabernet Sauvignon,Stickybeak
1106,US,The alcohol—19% as labeled—shows prominently on the aromas of this 88% Touriga Nacional and 12% Sauzao single-vineyard wine from Lonesome Springs Ranch Vineyard. Sweet chocolate and dark fruit flavors offer plenty of appeal.,Port,87,40.0,Washington,Yakima Valley,Columbia Valley,Touriga Nacional,Patterson
1107,US,"Medium in weight, this offers a richness of plum and medium acidity surrounded by sizable tannin and oak. Cherry, dark currant and leather round out the characteristics, the wine aged in both French and American oak. The price is nice.",Three Vineyards,87,18.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Pedroncelli
1108,Italy,"This Sangiovese features aromas of blue flower, dark berry and a balsamic note. The extracted palate delivers dried black cherry, ground pepper and espresso alongside bracing tannins that leave a drying, astringent finish.",,87,23.0,Tuscany,Maremma Toscana,,Sangiovese,Perazzeta
1109,US,"Lighter in color and 100% varietal, this wine offers high-toned notes of plum, cinnamon stick and licorice. The blue and red fruit flavors are broad in feel with a light squeeze on tannins.",,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Waterbrook
1110,Spain,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Crianza,90,15.0,Northern Spain,Rioja,,Tempranillo,Palacio del Burgo
1111,US,"This light-bodied wine has aromas of grapefruit and prosciutto, flavors of melon and toasted almond, making it one of the most interesting and complex versions around. Its balance is good, its texture crisp and its finish lingering.",,90,26.0,California,Lake County,Mendocino/Lake Counties,Sauvignon Blanc,Passaggio
1112,Spain,"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Crianza,90,20.0,Northern Spain,Rioja,,Tempranillo Blend,Rioja Vega
1113,US,"This is a serious and satisfying dry wine with bold flavors, great structure and a mouth-filling texture. It is very well balanced in terms of fruit character and displays moderate tannins, good acidity and no excesses. It's easy to imagine on the table with a grilled rib eye.",,90,20.0,California,Mendocino County,Mendocino/Lake Counties,Cabernet Sauvignon,Sketchbook
1114,US,"This is a richer take on the grape, with aromas of baked cherries, pie crust, allspice, nutmeg and a touch of bacon fat. The palate is quite juicy, accessible and action-packed, with roasted pork, cherry jelly, blackberry jam, star anise and baking spice flavors deep into the finish.",Anna's Vineyard Reserve,90,50.0,California,Adelaida District,Central Coast,Mourvèdre,Adelaida Cellars
1115,Italy,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio,90,,Sicily & Sardinia,Terre Siciliane,,Grillo,CVA Canicattì
1116,France,"Full of yellow fruits, ripe apples and soft acidity, this is a rich wine with hints of spice and also attractive, perfumed acidity. It has a tangy, zesty character that is attractive and refreshing. Drink from 2017.",,90,,Burgundy,Marsannay,,Chardonnay,Domaine Collotte
1117,France,"With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.",Clos du Roy Premier Cru,90,56.0,Burgundy,Mercurey,,Pinot Noir,Domaine Faiveley
1118,France,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2019.",Champ Salomon,90,,Burgundy,Marsannay,,Pinot Noir,Domaine René Bouvier
1119,US,"From the vineyard once known as Alisos comes this wine, with aromas of soft clove, red cherry and a touch of sage. A strong ginger spice reigns over the palate, which is bitingly acidic, and shows dark strawberry fruit and dark thyme herbs. This wine is still quite wound up, but that acidity will prove mouthwatering for years to come.",Flower & VIne,90,42.0,California,Santa Barbara County,Central Coast,Grenache,Casa Dumetz
1120,Chile,"Pretty on the nose, with floral notes to go with plum, cherry and minerally aromas. While this is tannic as nails, it's super tasty, with mocha, blackberry and coffee flavors. Hard residual tannins make for a rough exit, but there's enough ripe fruit to make this work. Drink through 2021.",Gran Reserva,90,27.0,Cachapoal Valley,,,Syrah,Rios de Chile
1121,Germany,"Laser-edged mineral tones cut a crystalline edge through this bristling, honey-kissed Kabinett. Equal parts sweet and tart, it packs a punch of crisp tangerine and lemon refreshment.",Kabinett,90,30.0,Rheingau,,,Riesling,Robert Weil
1122,US,"Winemakers Mikey Giugni and Michael Brughelli are the first to admit that this is an odd style of wine, but people are digging the pét-nat style. Aromas of sour apple, grass and passion fruit arise while the palate's very tight, bubbles unleash exotic tropical fruits like green papaya and green banana.",Amuse Shandon Hills Vineyard Methode Ancestrale,90,28.0,California,Central Coast,Central Coast,Chardonnay,Scar of the Sea
1123,US,"Deceptively light and tight when first opened, this wine has flavors and character more in line with Gamay than most Pinots. Tart cranberry and raspberry fruit carries into a tangy finish, with citrus, mineral and herbal highlights.",,90,32.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Adelsheim
1124,France,"With a little airing, this wakes up to reveal dark red cherries held in a taut and firm body that nonetheless has a generous core. There is some gentle grip and frank, firm acidity. It's a very honest wine without any baroque frills—but bags of forthright appeal.",Les Terres Rouges,90,35.0,Alsace,Alsace,,Pinot Noir,Boeckel
1125,Germany,"Delightfully fun and refreshing, this perlwein, or lightly sparkling white, is Germany's answer to Italian prosecco. Made from Müller-Thurgau grapes, it's gorgeously floral, but with a chalky, earthen tang. Sprightly acidity and a fresh, green touch lends vibrance to a moderately long finish.",Perlwein Trocken,90,19.0,Rheinhessen,,,Müller-Thurgau,Fritz Müller
1126,France,"This is a tight, fruity wine with high levels of acidity. That is certainly typical of the vintage and brings out very young red currant and berry fruit flavors. Even though the tannins are light, the wine is definitely one to age, so should not be drunk before 2020.",Les Teurons Premier Cru,90,70.0,Burgundy,Beaune,,Pinot Noir,Nicolas Potel
