,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1760,France,"While this wine has a strong tannic structure, it also offers plenty of ripe fruit. Acidity is kept in its place, giving freshness allied to warm berries. Drink this attractive wine from 2016.",Mission St. Vincent,84,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Producta Vignobles 2013 Mission St. Vincent  (Bordeaux),Bordeaux-style Red Blend,Producta Vignobles
1761,US,"Apple and pear notes have a slightly savory tone in this brisk, lemony dry Riesling. Throughout a tasting of two samples, there are lingering tones of rubber and struck matches that blow off gradually with aeration.",Randolph O'Neill Vineyard,84,25.0,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,,Silver Thread 2014 Randolph O'Neill Vineyard Riesling (Cayuga Lake),Riesling,Silver Thread
1762,US,"This juicy red wine offers thick layers of black pepper and blueberry around sturdy oak. However, its opulent beginnings start to thin on the midpalate, veering into sour flavors and a touch of heat.",,84,37.0,California,Napa Valley,Napa,Virginie Boone,@vboone,V. Sattui 2012 Malbec (Napa Valley),Malbec,V. Sattui
1763,US,"Sweet green apple, lemon and lime notes meld in this off-dry Riesling, somewhat evocative of green Jolly Rancher's candy. Whiffs of smoke and nuts add a savory dimension to this brisk, easy drinking wine. Drink now.",,84,20.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Ventosa 2013 Riesling (Seneca Lake),Riesling,Ventosa
1764,Spain,"Pickled, briny aromas of citrus and berry fruits are modest. On the palate, this is soft and low on acidity. Flavors of raspberry, cherry and red currant are mild, with a touch of bitterness.",Brut Rose,84,14.0,Catalonia,Cava,,Michael Schachner,@wineschach,Biutiful NV Brut Rose Garnacha (Cava),Garnacha,Biutiful
1765,France,"This crisp, fruity wine is fresh with citrus, grapefruit and an attractive zesty texture. Aromatic and bright, it is ready to drink now, clean and fragrant.",,84,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Cap Royal 2014  Bordeaux Blanc,Sauvignon Blanc,Cap Royal
1766,US,"All Merlot, this pale-pink wine offers aromas of herbs, grass and cherry. Though the label suggests otherwise, it drinks off dry, with pit-fruit flavors.",Dry,84,18.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Cave B 2014 Dry Rosé (Ancient Lakes),Rosé,Cave B
1767,France,"Too much extraction has given this wine a dry character. It does have juicy red fruits underneath and these should come out as the wine ages. It is likely, though, always to be a dry wine.",,84,25.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Barreyre 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Barreyre
1768,France,"This firm, smoky wine with fine tannins and ripe fruit is developing well, allowing the berry fruits to come through the structure. Give this wine until late 2016.",,84,25.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Laronde Désormes 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Laronde Désormes
1769,Chile,"Flat boysenberry and plum aromas are jammy and a bit floral. This feels clipped and rugged, with reedy plum and raspberry flavors that finish short.",Grand Reserve,84,15.0,Cachapoal Valley,,,Michael Schachner,@wineschach,Château Los Boldos 2013 Grand Reserve Syrah (Cachapoal Valley),Syrah,Château Los Boldos
1770,France,"From owner Jean-Pierre Palatin's vineyards at the highest elevation in this appellation, this mostly Merlot wine is soft and fruity, ripe but with little sense of structure. It is juicy and with some acidity. Light and perfumed, it is ready to drink. The winemaker is Thomas Guibert who also handles Ferrand, Palatin's Saint-Émilion grand cru.",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Roquevieille 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Roquevieille
1771,US,"A very deep red color catches the attention. Next, strong, wild aromas like smoke and black rubber lead to a rather fruity but still firm and tannic texture. The flavors are more like blackberries and blueberries, but the overall effect is slightly viscous.",,84,9.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cocobon 2013 Red (California),Red Blend,Cocobon
1772,France,"Soft, ripe and fruity, this spicy wine has attractive acidity. It offers a light texture, pepper and a bite of orange zest at the end.",Juliette,84,13.0,France Other,Mediterranée,,Roger Voss,@vossroger,Domaine de la Sanglière 2014 Juliette Rosé (Mediterranée),Rosé,Domaine de la Sanglière
1773,Chile,"Herbal berry aromas include a heavy dose of spent coffee grinds and oak. This has an edgy, hard mouthfeel and oaky flavors of plastic and vanilla that sit on top of herbal berry notes. A creamy finish maintains the wine's oaky theme.",,84,13.0,Central Valley,,,Michael Schachner,@wineschach,Doña Isadora 2012 Carmenère (Central Valley),Carmenère,Doña Isadora
1774,US,"Dark, dry and puckering with a stewed plum aroma and flavor, this wine offers a depth of tannin and herbal notes. A blend of 70% Cabernet Sauvignon, 22% Cabernet Franc and 8% Merlot, it spent 20 months in French oak.",Bellarina,84,22.0,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Ehret 2010 Bellarina Meritage (Knights Valley),Meritage,Ehret
1775,France,"Ripe and jammy with attractive soft fruits and acidity, this wine has crushed strawberry and light spice flavors. Drink from late 2016. MACIF, a mutual insurance company, bought the estate in the 1980s and restored the vineyards and beautiful château. The estate manager is Fredéric Dubois and consultant is Georges Pauli.",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Belcier 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Belcier
1776,France,"This wine is concentrated, with fruit that seems too ripe. Jammy berry flavors are mixed in with dry tannins and a firm backdrop. It's solid, although not quite balanced. The estate was founded in 1967 by Philippe Raguenot; daughters Emmanuelle and Marie-Pierre took over in 1997.",,84,17.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château des Tourtes 2012  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château des Tourtes
1777,France,"While there are firm tannins, this wine also has plenty of fresh black currant fruits. Acidity and a crisp texture give it a lift and brightness. Drink this 100% Merlot from 2016 when the tannins have softened.",Premium,84,23.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Donjon de Bruignac 2013 Premium  (Bordeaux Supérieur),Merlot,Château Donjon de Bruignac
1778,France,"Perfumed strawberry aromas show well. On the palate, this wine is fruity, jammy in texture with good balancing acidity. The tannins still need to soften, so drink from 2017.",,84,,Bordeaux,Francs Côtes de Bordeaux,,Roger Voss,@vossroger,Château Godard 2013  Francs Côtes de Bordeaux,Bordeaux-style Red Blend,Château Godard
1779,France,"Firm but with juicy fruit, this 80% Merlot and 20% Cabernet Sauvignon blend is a solid, still young, wine. The aftertaste is tough and packed with acidity.",,84,15.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Haut Boilon 2013  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Haut Boilon
1780,US,"This Southern Rhône-style blend is roughly half Mourvèdre, 31% Grenache and 17% Cinsault. It's a delicious match-up, with the Mourvèdre underscoring the minerality, and providing grip and texture around the racy red berry flavors of the other two grapes. The wine has a spine of steel, suggesting it will age through 20206–2022.",Stone Tree SoRhô,91,33.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Helix by Reininger 2011 Stone Tree SoRhô Red (Columbia Valley (WA)),Rhône-style Red Blend,Helix by Reininger
1781,Italy,"Classically crafted, it opens with a fruit-driven fragrance of bright red berries accented with whiffs of cooking spices and balsamic herbs. The juicy palate delivers fleshy black cherry, black raspberry, black pepper and exotic spices alongside big, velvety tannins. Soft and delicious, this is already accessible so enjoy over the next few years.",,91,55.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Capanna 2009  Brunello di Montalcino,Sangiovese,Capanna
1782,Spain,"Jammy, ripe blueberry and blackberry aromas belie a crisp, tight palate, with wild berry, licorice and peppery flavors. This is fresh, wiry, firmly structured and alert as well as comfortable and controlled. Think classic Priorat to drink through 2018.",Roureda Llicorella Gran Selecció Vitis 60,91,33.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red (Priorat),Red Blend,Cellers Unió
1783,France,"Hugely tannic, this formidable wine has great weight, richness and a dark and dense structure. Juicy berry fruits, sweet plum flavors and a dry, concentrated backdrop promise aging. Drink from 2018.",,91,35.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château Haut Bertinerie 2010  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Haut Bertinerie
1784,France,"Perfumed, ripe and packed with blackberry fruits, this wine displays a great sense of elegance. It is fresh while the solid structure provides a contrast of tannins. The end shows acidity and fruitiness.",,91,,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Lalande-Borie 2011  Saint-Julien,Bordeaux-style Red Blend,Château Lalande-Borie
1785,France,"A strong Merlot element has produced a ripe, juicy wine, full of fruit balanced with a subtle use of wood. It's a powerful, concentrated wine that has impressive tannins, rich berry fruits and acidity. Drink from 2018.",,91,26.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Preuillac 2011  Médoc,Bordeaux-style Red Blend,Château Preuillac
1786,US,"This is a über aromatic wine with a long list of notes that include orange marmalade, peach, citrus, and drizzled honey. Harvested at 42 brix and retaining a whopping 240 g/L residual sugar, it's supremely rich and sweet with a lingering finish.",Ice Wine,91,20.0,Idaho,,,Sean P. Sullivan,@wawinereport,Koenig Vineyards 2011 Ice Wine Riesling,Riesling,Koenig Vineyards
1787,US,"The vineyard is famous for producing ripe, luscious Pinots stuffed with massive fruit. Many wineries have dipped into it over the years. Krutz's rendition is dry, balanced and full-bodied, with relatively high alcohol framing raspberry, cherry, cola, red plum, exotic spice and sandalwood flavors. It should age well through 2020–2022.",Soberanes Vineyard,91,45.0,California,Santa Lucia Highlands,Central Coast,,,Krutz 2011 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Krutz
1788,US,"The vineyard is near if not entirely within the Arroyo Grande Valley appellation, and it shows that region's tannins, acidity and ripe, long hangtime flavors. The balanced 2012 vintage has given it tremendously ripe cherry, raspberry, red currant and cola flavors, yet the wine retains an exciting sense of control and balance. Give it until 2018–2019 in the cellar to gain traction.",Aubaine Vineyard,91,50.0,California,San Luis Obispo County,Central Coast,,,Loring Wine Company 2012 Aubaine Vineyard Pinot Noir (San Luis Obispo County),Pinot Noir,Loring Wine Company
1789,US,"It's risky to suggest aging a California Chardonnay, but you'd do well to stash this away until sometime in 2015. Right now, the wine is all about brisk acidity, oak and fresh, ripe tropical fruit, orange and pear flavors. All those parts need time to come together.",Durell Vineyard,91,40.0,California,Sonoma Coast,Sonoma,,,Loring Wine Company 2012 Durell Vineyard Chardonnay (Sonoma Coast),Chardonnay,Loring Wine Company
1790,Argentina,"Floral hints, latex, vanilla, oak and ripe berry aromas all show up on a fine bouquet. Ripe and creamy in feel, it holds dark, hard-pushing flavors of licorice, anise, coffee and blackberry. There's agility, elegance and complexity to this Malbec. Drink through 2017.",,91,24.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Los Vencejos 2010 Malbec (Uco Valley),Malbec,Los Vencejos
1791,US,"A rich barrel selection, this is a fine Pinot Noir that's silky, brisk in acidity, dry and deeply flavored in raspberries, cherries and Dr. Pepper cola. Give it at least until 2018 in the cellar.",Estate Reserve,91,60.0,California,Santa Lucia Highlands,Central Coast,,,Manzoni 2011 Estate Reserve Pinot Noir (Santa Lucia Highlands),Pinot Noir,Manzoni
1792,US,"Half was whole-cluster fermented, yielding dense scents and flavors with black olive, herb and a touch of mocha. Cranberry, raspberry and cherry fruit flavors are smooth and detailed, and the tannins firm and polished.",,91,29.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Amavi 2011 Syrah (Walla Walla Valley (WA)),Syrah,Amavi
1793,Italy,"This earthy wine opens with aromas of meat juices, baking spices and black fruit together with notes of leather and balsam. The rich palate delivers dark red cherry layered with mint and a tad of milk chocolate alongside dusty tannins. It' well balanced and should age moderately well. Drink 2016–2024.",Grazia,91,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Bolsignano 2009 Grazia  (Brunello di Montalcino),Sangiovese,Bolsignano
1794,US,"A beautiful wine to pair with desserts based on white fruits or simple but delicious vanilla sponge cake. Made from late-harvested Chardonnay, it's very sweet in apricots, lemons, vanilla and buttered toast, with a brisk edge of acidity for balance.",Bouche d'Or,91,30.0,California,Carneros,Napa-Sonoma,,,Bouchaine 2012 Bouche d'Or Chardonnay (Carneros),Chardonnay,Bouchaine
1795,US,"Since planting in 1997, Bucher Vineyard has been a renowned source of Pinot Noir for exceptional local wineries. Now the Bucher family is making their own wine, with good results. The wine is dry, fresh and keen in acidity, and has considerable weight, with ripe, forward raspberry, cherry, bacon, sautéed wild mushroom and exotic spice flavors. However, it's still too young. Begin to enjoy it around 2018.",,91,40.0,California,Russian River Valley,Sonoma,,,Bucher 2012 Pinot Noir (Russian River Valley),Pinot Noir,Bucher
1796,US,"This is pure Mourvèdre from three excellent Red Mountain sites: Heart of the Hill, Ciel du Cheval and Grand Rêve vineyards. Tart, stony raspberry fruit carries a hint of cured meat and straw. The wine displays excellent length and a delicious purity.",,91,45.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Syncline 2011 Mourvèdre (Red Mountain),Mourvèdre,Syncline
1797,Italy,"Andrea Cortonese makes ripe, structured Brunellos and this is an impressive effort from the variable 2008 vintage. It opens with aromas reminiscent of black plum, chocolate, vanilla and leather. These carry over to the palate along with toasted notes, spice and espresso. The fruit is supported by assertive tannins that need time to soften. Drink 2015–2023.",Riserva,91,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Uccelliera 2008 Riserva  (Brunello di Montalcino),Sangiovese,Uccelliera
1798,Italy,"From one of the best vintages in the last 15 years, this classic Barolo needs to be opened a couple of hours ahead of time to breathe. It's a bit shy on aromas but the palate delivers dried cherry, fig, tobacco, white pepper and black tea flavors. Youthful acidity accompanies silky tannins in this wine that is just starting to develop complexity. Drink through 2024.",Riserva,91,50.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Villadoria 2004 Riserva  (Barolo),Nebbiolo,Villadoria
1799,France,"Smooth and rich while remaining structured, this wine performs the role of second wine very well. The tannins are already rounded and the black currant fruit remains fresh. It should be ready to drink in 2016.",Les Pagodes de Cos,91,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Cos d'Estournel 2011 Les Pagodes de Cos  (Saint-Estèphe),Bordeaux-style Red Blend,Château Cos d'Estournel
1800,France,"Solid and powerful, it has a great mix of very ripe fruit with dense tannins. Blackberry fruits, laced with licorice and dark chocolate, contrast with a juicy, lightly herbal element. This mainly Merlot wine is destined for a fine future. Drink from 2017.",Cuvée Reine,91,29.0,Bordeaux,Lalande de Pomerol,,Roger Voss,@vossroger,Château de Roquebrune 2010 Cuvée Reine  (Lalande de Pomerol),Bordeaux-style Red Blend,Château de Roquebrune
1801,Portugal,"The local grape Castelão is blended with Cabernet Sauvignon in this soft, spicy and fruity wine. Red fruits and balanced acidity are given a shove by a lightly tannic structure. The wine is ready to drink.",Terra de Lobos Tinto,85,10.0,Tejo,,,Roger Voss,@vossroger,Quinta do Casal Branco 2014 Terra de Lobos Tinto Red (Tejo),Portuguese Red,Quinta do Casal Branco
1802,Portugal,"It seems perverse to plant Gewürztraminer in the Douro and this wine is as much a curiosity as it is attractively perfumed. Showing all the hallmarks of the grape, the palate carries flavors of lychee and rosewater, although it all seems muted. The acidity does give a final lift.",,85,20.0,Duriense,,,Roger Voss,@vossroger,Real Companhia Velha 2014 Gewurztraminer (Duriense),Gewürztraminer,Real Companhia Velha
1803,France,"This light, fresh Chardonnay has lively pear and apple flavors. A crisp texture gives zing to the brightly fruity wine. Drink now.",,85,19.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Jean-Marc Burgaud 2014  Beaujolais-Villages,Chardonnay,Jean-Marc Burgaud
1804,France,"This wine is light, fruity and with only a slightly tannic character. Aromatic cherry flavors give freshness and bring out a jammy character. It's ready to drink.",Les Vignes de Thulon,85,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Jean-Marc Burgaud 2014 Les Vignes de Thulon  (Beaujolais-Villages),Gamay,Jean-Marc Burgaud
1805,US,"Coming in a sparkly package befitting its name, this boxed wine shows honeysuckle and pineapple on the nose. On the palate, green apple flesh and pink apple skins prove tart and ripe at the same time, though without tons of body or finish. It's a solid deal though!",,85,28.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Jewelry Box 2012 Chardonnay (Central Coast),Chardonnay,Jewelry Box
1806,Spain,"Cidery aromas are briny. This feels low on bubbles but propped up by citric acidity. Orange and lettuce flavors end in pedestrian fashion, with a note of green herbs. This Cava's moderate, straightforward personality is due to the fact that it's 100% Xarello.",Essential,85,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps 2013 Essential Xarel-lo (Cava),Xarel-lo,Juvé y Camps
1807,France,"Lanson suggests adding fruit to this wine or using it as the base for cocktails. It is off dry, ripe and fruity in itself. A touch of toast suggests this bottling is not young. The wine confuses between crisp acidity and a soft, neutral texture. It will probably be best when it is part of a mixed drink.",White Label Sec,85,50.0,Champagne,Champagne,,Roger Voss,@vossroger,Lanson NV White Label Sec  (Champagne),Champagne Blend,Lanson
1808,US,"Lots of stone fruit ripeness marks the nose of this wine, with aomas of nectarine and peach cut by the sharpness of apple skins. The palate is all green apples and lime juice.",,85,15.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Magnolia Court 2013 Chardonnay (Central Coast),Chardonnay,Magnolia Court
1809,Spain,"Staunch aromas of leather and animal hide ride heavily on top of rubbery blackberry scents. This feels solid but scattered, with cherry and cassis flavors that come across jammy. Rubbery notes and a mild cheesy oak character dominate the finish.",The Issue of Inexpensive Wines is When They Are Not Good Enough,85,11.0,Levante,Valencia,,Michael Schachner,@wineschach,Mamarracho 2014 The Issue of Inexpensive Wines is When They Are Not Good Enough Red (Valencia),Red Blend,Mamarracho
1810,Spain,"Stone-fruit aromas are the opening, and they're on the full, waxy, fleshy side. This weighs in with low acidity, and that results in broad flavors of papaya and green melon. A round finish, much like the nose, shows a fleshy component.",,85,16.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Mantel Blanco 2014 Verdejo (Rueda),Verdejo,Mantel Blanco
1811,US,"Savory aromas and flavors combine with a soft texture in this full-bodied wine. It smells smoky and roasted, tastes like pomegranate and cherry juice and has a streak of acidity but not much tannin.",Reserve,85,14.0,California,California,California Other,Jim Gordon,@gordone_cellars,Red Rock 2013 Reserve Pinot Noir (California),Pinot Noir,Red Rock
1812,Portugal,"A blend of Arinto and Tamarez, this wine is light and fruity, with attractive acidity and flavors of apricots sprayed with lemons. It has a light texture and a fresh, lively aftertaste. Drink now.",Selection Branco,85,11.0,Tejo,,,Roger Voss,@vossroger,Quinta da Lapa 2014 Selection Branco White (Tejo),Portuguese White,Quinta da Lapa
1813,Portugal,"While more herbal in character, this wine also carries grapefruit, lemon and quince flavors. It is fresh with a steely mineral character that adds some interest. Drink now.",Quinta de Cidrô,85,20.0,Duriense,,,Roger Voss,@vossroger,Real Companhia Velha 2014 Quinta de Cidrô Sauvignon Blanc (Duriense),Sauvignon Blanc,Real Companhia Velha
1814,Spain,"This blend of Merseguera and Sauvignon Blanc is modest as a church mouse, with clean but dilute green-apple aromas. An easygoing, round palate offers orange and lime flavors in front of a pithy, citrusy finish.",Winemaker's Selection,85,9.0,Levante,Valencia,,Michael Schachner,@wineschach,Castillo de Liria 2014 Winemaker's Selection White (Valencia),White Blend,Castillo de Liria
1815,Argentina,"Damp, foresty, stalky aromas are backed by a chunky, slightly sticky feeling palate. Black cherry and mocha flavors set the stage for a ripe finish, with brown-sugar sweetness.",Oak Cask Estate Bottled,85,12.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,San Felipe 2013 Oak Cask Estate Bottled Malbec (Mendoza),Malbec,San Felipe
1816,Spain,"Leesy vanilla aromas are scattershot and include bready notes of baked apple and pear. This feels round, plump and low on acidity. Flavors of grassy, green citrus and tropical fruits turn bitter before flattening out on a mild finish.",Brut,85,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Tarantas 2014 Brut Sparkling (Cava),Sparkling Blend,Tarantas
1817,US,"This is an earthy, rustic wine tasting of black cherry, cola and a mention of sage, medium bodied on the palate and softly textured. It will please a range of palates, showing varietal character with vigor.",,85,25.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Decoy 2013 Pinot Noir (Sonoma County),Pinot Noir,Decoy
1818,France,"This wine is tight, fresh with crisp red currant and red-cherry flavors. It is as bright as a button, fruity with layers of acidity that bring out a perfumed character at the end. The Colonge family has been growing grapes in Beaujolais since 1789.",,85,,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine André Colonge 2014  Beaujolais,Gamay,Domaine André Colonge
1819,France,"Fresh and fruity, this is a ripe, cherry-flavored wine (hence the name Griottes, a type of cherry). It is light with a straight line of acidity that cuts through the attractive fruitiness. Drink immediately.",Les Griottes,85,,Beaujolais,Beaujolais Rosé,,Roger Voss,@vossroger,Domaine du Vissoux 2014 Les Griottes Rosé (Beaujolais Rosé),Rosé,Domaine du Vissoux
1820,France,"Banana aromas don't intrude too strongly into the fruity palate of this wine that has a crisp character. Tart red-berry fruits and and bright acidity give the wine a fresh, totally fruity appeal with only a hint of tannin. Drink now.",Les Pays de Pierres Dorées,85,15.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine Pral 2014 Les Pays de Pierres Dorées  (Beaujolais),Gamay,Domaine Pral
1821,Portugal,"Grassy, green aromas give this a herbal, crisp taste. It is tight and tangy, with green fruit aromas and a fresh aftertaste. Drink now.",Alves Vieira Branco,85,13.0,Alentejano,,,Roger Voss,@vossroger,Espaço Rural 2014 Alves Vieira Branco White (Alentejano),Portuguese White,Espaço Rural
1822,Argentina,"Salmon-colored and spritzy, this rosé of Pinot Grigio smells stony and peachy. A zesty palate has sizzle and zest to it, while stone-fruit and minerally flavors are salty prior to a mildly bitter finish that tastes of pithy citrus.",Piedra Negra Pinot Gris Alta Colección,85,12.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,François Lurton 2015 Piedra Negra Pinot Gris Alta Colección Rosado (Uco Valley),Rosado,François Lurton
1823,France,"Structured and firm, this wine has more in the way of dry tannins than of fruit. It presents a fine skeleton without much flesh, leaving a wine that is tight and extracted. It needs plenty of time, so drink from late 2016.",,85,20.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Georges Duboeuf 2014  Chiroubles,Gamay,Georges Duboeuf
1824,France,"This structured wine has a tight, tannic, dry character. It is slow to develop, leaving the black cherry fruits still masked by the forward dryness. Drink from 2016.",Domaine du Paradis,85,22.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Georges Duboeuf 2014 Domaine du Paradis  (Saint-Amour),Gamay,Georges Duboeuf
1825,US,"Forest berries, perfumed violets and pine needles entertain the nose on this widely available bottling. The palate shows dried herbs, tar and smashed blackberries.",,84,18.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Limited by Cambridge Cellars 2013 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Limited by Cambridge Cellars
1826,France,"This wine is totally fresh, with crisp red currant and riper banana flavors—a bright wine that's all fruit and refreshing acidity. The family has been in the wine business since 1811 and today works with some 50 small-production growers.",Beau!,84,12.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Loron et Fils 2014 Beau!  (Beaujolais),Gamay,Loron et Fils
1827,Spain,"Damp, rubbery aromas of berry fruits and cured meat amount to a weird ensemble. This is decidedly grabby on the palate, with salty, herbal plum flavors. A leafy, herbal, mildly green finish wraps up this kitchen-sink blend of Mencía and other grapes.",Tradición Joven,84,23.0,Galicia,Ribeira Sacra,,Michael Schachner,@wineschach,Adegas Moure 2013 Tradición Joven Red (Ribeira Sacra),Red Blend,Adegas Moure
1828,Spain,"Oaky, jammy aromas are wayward and slightly green. This blend of Tempranillo and Monastrell delivers heavy tannins on a widespread but unfocused palate. Oaky, drying berry flavors are more bitter than fruity, while the finish is choppy in feel and woody in taste.",Alcanta Crianza,84,16.0,Levante,Alicante,,Michael Schachner,@wineschach,Bocopa 2012 Alcanta Crianza Red (Alicante),Red Blend,Bocopa
1829,US,This wine offers appealing aromatics of caramel apple before delving into viscous territory on the palate. Flavors fall somewhat flat and the finish is muddled.,,84,46.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Cairdean Estate 2011 Chardonnay (Napa Valley),Chardonnay,Cairdean Estate
1830,US,"The Blanc de Noir name would suggest it's a sparkling wine; it is not. The label also reads Estate White Wine. It is not. Rather, it is a rosé of Pinot Noir, lightly orange in color. Flavors recall a Pop Tart sort of pastry, simple and slightly sweet.",Blanc de Noir,84,15.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Cardwell Hill 2014 Blanc de Noir Pinot Noir (Willamette Valley),Pinot Noir,Cardwell Hill
1831,US,"Made from certified organic grapes, this wine is both savory and tannic, a tad muted on the nose and wanting in texture. Cassis and pipe tobacco stand out most.",,84,50.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Viluko 2011 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Viluko
1832,US,"Vanilla and maple aromas lead to overtly fruity red cherry flavors with a touch of sweetness and a soft texture. It's pleasant to drink for those looking for a soft touch, with very mild acidity and no tannin to speak of.",Secret Agent,84,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Alias 2013 Secret Agent Red (California),Red Blend,Alias
1833,Spain,"This Viura-Chardonnay blend smells odd, as if musky cologne was blended with body oil. The palate seems caught between heavy and racy, while flavors of candied white fruits, apple and pear come with residual sugar and a sketchy foundation.",Agostón,84,13.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Bodegas Paniza 2013 Agostón Viura-Chardonnay (Cariñena),Viura-Chardonnay,Bodegas Paniza
1834,US,"Smooth but tangy, this offers good fresh citrus aromas and flavors, a softer-than-usual texture but a bright, clean character that stays fresh on the finish.",,84,23.0,California,California,California Other,Jim Gordon,@gordone_cellars,Bota Box 2013 Sauvignon Blanc (California),Sauvignon Blanc,Bota Box
1835,Spain,"Chunky, raisiny lead aromas come with more than enough vanilla, mocha and creamy oak backing. This has a lazy, baked, tannic feel and heavy flavors of candied blackberry and creamy oak. It smells and tastes forced.",Crianza,84,25.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Viña Arnáiz 2010 Crianza  (Ribera del Duero),Tempranillo Blend,Viña Arnáiz
1836,US,"Grilled peach and almond notes show on the nose, while the palate is tighter in profile, offering apple pomace and lemon rind.",Dry,84,19.0,Michigan,Leelanau Peninsula,,Alexander Peartree,,Good Harbor 2011 Dry Riesling (Leelanau Peninsula),Riesling,Good Harbor
1837,France,"Light and fruity, this is an attractive off-dry wine. It has a delicate spice character along with yellow fruits that are seasoned with pepper and acidity. Drink now.",,84,23.0,Alsace,Alsace,,Roger Voss,@vossroger,Kuehn 2013 Pinot Gris (Alsace),Pinot Gris,Kuehn
1838,US,"This herbaceous Cabernet also contains 17% Petite Sirah but doesn't take that variety's character on as much as it does the more herbal Bordeaux grapes, namely Cab and Cab Franc. Earthy and somewhat austere, the wine is a blend of cassis and green pepper.",,84,47.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Long Meadow Ranch 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Long Meadow Ranch
